Breed,length,origin,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly,friendly_toward_strangers,tendency_to_vocalize
Russian Blue,15 to 18 inches,Russia,10.0,15.0,7.0,15.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,
Savannah,13 to 20 inches,USA,17.0,20.0,8.0,20.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0
Scottish Fold,10 to 12 inches,Scotland,11.0,14.0,6.0,13.0,5.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,,
Serengeti,Medium,United States,10.0,15.0,8.0,15.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,,
Siamese Cat,15 to 20 inches,Thailand,8.0,15.0,6.0,14.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,,
Siberian,17 to 25 inches,Russia,11.0,18.0,8.0,17.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0
Singapura,Small,Singapore,11.0,15.0,4.0,7.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
Snowshoe,Medium to long,USA,14.0,19.0,7.0,12.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0
Sokoke,Medium,Kenya,9.0,15.0,6.0,10.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,,
Somali,11 to 14 inches,United States,11.0,16.0,6.0,10.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,
Sphynx,13 to 15 inches,Canada,8.0,14.0,6.0,12.0,5.0,1.0,2.0,4.0,5.0,2.0,4.0,5.0,5.0,
American Shorthair,12 to 15 inches,United States,15.0,20.0,7.0,12.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,,
Tonkinese,12 to 15 inches,United States and Thailand,10.0,16.0,6.0,12.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,1.0
Toyger,Medium,United States,10.0,15.0,7.0,15.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,,
Turkish Angora,Medium,Turkey,12.0,18.0,5.0,9.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,
Turkish Van,14 to 17 inches,Turkey,12.0,17.0,10.0,18.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,
Ukrainian Levkoy,Medium,Russia,9.0,15.0,8.0,12.0,5.0,1.0,3.0,4.0,5.0,2.0,5.0,4.0,,
York Chocolate,Large,United States,13.0,15.0,10.0,18.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,,
American Curl,,,,,,,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,5.0
Balinese,,,,,,,4.0,3.0,2.0,4.0,4.0,4.0,,4.0,4.0,1.0
Chartreux,,,,,,,3.0,4.0,4.0,3.0,3.0,2.0,,4.0,3.0,5.0
Cymric,,,,,,,5.0,4.0,3.0,,3.0,2.0,4.0,3.0,4.0,2.0
Egyptian Mau,,,,,,,5.0,3.0,4.0,4.0,4.0,4.0,,3.0,2.0,2.0
European Burmese,,,,,,,5.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
Exotic,,,,,,,4.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,,5.0
Havana Brown,,,,,,,5.0,3.0,4.0,3.0,4.0,5.0,,4.0,3.0,
Himalayan,,,,,,,4.0,5.0,2.0,1.0,2.0,1.0,,2.0,2.0,
Korat,,,,,,,5.0,1.0,4.0,,3.0,5.0,,3.0,2.0,5.0
LaPerm,,,,,,,4.0,2.0,4.0,5.0,4.0,4.0,,4.0,4.0,5.0
Norwegian Forest,,,,,,,2.0,4.0,2.0,,4.0,2.0,,4.0,2.0,4.0
Ocicat,,,,,,,4.0,2.0,3.0,,4.0,4.0,4.0,3.0,4.0,2.0
Ragamuffin,,,,,,,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,
Selkirk Rex,,,,,,,4.0,4.0,3.0,4.0,5.0,2.0,,4.0,,2.0
